Reston_genome,Sudan_genome,TaiForest_genome,Zaire_genome,Bundibugyo_genome,Marburg_genome
0,6788,6789,6697,6797,8926
6788,0,6810,6740,6815,8989
6789,6810,0,6215,5536,9052
6697,6740,6215,0,6247,8986
6797,6815,5536,6247,0,9064
8926,8989,9052,8986,9064,0
